Satellite,Timestamp (UTC),Doppler Shift (Hz),Azimuth (deg),Elevation (deg),Distance (km),Timestamp
STARLINK-34311,2026-06-08T18:13:43Z,-1375.349572167089,250.59759873043043,83.6228297471358,398691112031.7497,2026-06-08 18:13:43+00:00
STARLINK-34311,2026-06-08T18:13:44Z,10776.074253288782,57.9971496133896,-14.575864578994349,397030044721.7489,2026-06-08 18:13:44+00:00
STARLINK-34311,2026-06-08T18:13:45Z,-6141.687463893065,235.5331833191104,-55.43485087286568,400712562366.7093,2026-06-08 18:13:45+00:00
STARLINK-34311,2026-06-08T18:13:46Z,-6761.940084243169,239.56632589728204,53.32222109738996,399872218638.12354,2026-06-08 18:13:46+00:00
STARLINK-34311,2026-06-08T18:13:47Z,10598.13035236305,57.21093696905776,16.22996463651283,396755657874.4687,2026-06-08 18:13:47+00:00
STARLINK-34311,2026-06-08T18:13:48Z,-644.4150730914728,218.86259319409916,-85.51518887659667,399721000564.92645,2026-06-08 18:13:48+00:00
STARLINK-34311,2026-06-08T18:13:49Z,-10272.811082501225,238.25373866234568,23.066076910890324,400815266355.6019,2026-06-08 18:13:49+00:00
STARLINK-34311,2026-06-08T18:13:50Z,7428.031070581107,56.08437047881785,47.022974402388265,397113422758.085,2026-06-08 18:13:50+00:00
STARLINK-34311,2026-06-08T18:13:51Z,5058.898725098113,60.58632305657231,-63.747603444494985,398532912806.829,2026-06-08 18:13:51+00:00
STARLINK-34311,2026-06-08T18:13:52Z,-10984.861091400277,237.46526022219643,-7.087308117360196,401264322927.2412,2026-06-08 18:13:52+00:00
STARLINK-34311,2026-06-08T18:13:53Z,2179.588103104493,50.98367426626549,77.66467868763344,398001571534.013,2026-06-08 18:13:53+00:00
STARLINK-34311,2026-06-08T18:13:54Z,9384.48358018717,58.60209952983077,-33.137383183285,397476393210.34094,2026-06-08 18:13:54+00:00
STARLINK-34311,2026-06-08T18:13:55Z,-8724.252755338295,236.54755806556057,-37.21537114141317,401098794179.5,2026-06-08 18:13:55+00:00
